Project Location  - Contract ## - PM Name,,,,,
Task,Phase,Status,Responsible Party,Due Date,Notes
Define project scope and objectives,Pre Design Stage,Not Started,,,
Coordination (Internal / External Stakeholders),Pre Design Stage,Not Started,,,
Tree removal/ relocate poles,(goes to design checklist),,,,
"Includes TA plans, production drawings",Design Stage,,,,
Complete design,Design Stage,Not Started,,,
Design Review,,,,,
Complete cost estimate ,Design Stage,Not Started,,,
Grade Sheet Creation and Point Files,Design Stage,,,,
"Permit requirements startup (Gas line crossings, rail crossings, SaskPower, Sasktel ect)",Design Stage,,,,
Stakeholder communication plan,Design Stage,Not Started,,,
Set up work order for Project and Admin,Beginning of the year,,,,
Prepare tender documents and specifications,Procurement Stage,Not Started,,,
Initiation Form,Procurement Stage,Not Started,,,
Work with procurement (1 week),Procurement Stage,Not Started,,,
Post to Sasktender (30 days),,,,,
Pre Tender Meeting,Procurement Stage,,,,
Submition Evaluations Review contractor qualifications and references,Procurement Stage,Not Started,,,
Contract Negotiation,Procurement Stage,Not Started,,,
Award Memo (3 weeks),Procurement Stage,Not Started,,,
Approved memo send to Procurement,,,,,
Debrief with contractors,Procurement Stage,,,,
Review submission documents ,,,,,
Contract Execution (3 weeks),Procurement Stage,,,,
Email Canada Post (Rocco) with any box that needs relocation (dedicated PM),Pre-Construction Phase,,,,
Setup meeting with school board to present projects (dedicated PM),Pre-Construction Phase,,,,
Schedule pre-construction meeting before construction,Pre-Construction Phase,Not Started,,,
Update C3DR based on contractor Schedule,Pre-Construction Phase,,,,
Go to site to check if any trees need pruning / removal,Pre-Construction Phase,,,,
set up onsite meetings with internal crews such as foresty and SDO for domestic for tree conflicts,Pre-Construction Phase,,,,
Send for inspection (underground/surface),Pre-Construction Phase,,,,
Send Project information to survey,,,,,
"Send Initial Communication Letter (send to citymanager email with Councilor Name, cc Manager, Director and Construction Coordination email)",Pre-Construction Phase,,,,
Request for basement inspection for complex projects (Send to Risk Management with all required documentations),Pre-Construction Phase,,,,
"Set up submital folder, send to contractor, and review contractor submittals",Pre-Construction Phase,,,,
Set up payment progress sheet and Payment Certificate,Pre-Construction Phase,,,,
Check all the submittals to provide notice to proceed,Pre-Construction Phase,,,,
Finilize grade sheets and point files for each location,Pre-Construction Phase,,,,
Request Initial Layout,Pre-Construction Phase,,,,
Setup weekly site safety inspection on calendar,Pre-Construction Phase,,,,
"Send 2 week Construction letters (send to citymanager email with Councilor Name, cc Manager, Director and Construction Coordination email)",Pre-Construction Phase,,,,
Set up in-person meeting with affected businesses,Pre-Construction Phase,,,,
Prepare emergency response plan for all rebuild projects and send to Fire Marshall,Pre-Construction Phase,,,,
Send TAR Request for projects (CPI) include emergency response plan,Pre-Construction Phase,,,,
Set up Project File for Schedule Tracking,,,,,
Setup Bi-weekly construction meetings,Pre-Construction Phase,,,,
Walkthrough with Contractor of the site locations,Pre-Construction Phase,,,,
Pre Constuction photos,Pre-Construction Phase,,,,
Water cut messurements for JV,Pre-Construction Phase,,,,
Notice to Proceed,Pre-Construction Phase,,,,
Maintain daily logs (OneNote) and progress reports,Construction Phase,Not Started,,,
Survey Checks and Design adjustment,,,,,
Monitor adherence to design specifications,Construction Phase,Not Started,,,
Track progress against schedule and milestones (Microsoft Project),Construction Phase,Not Started,,,
Bi weekly meeting with contractor,Construction Phase,,,,
"Service requests management (questions, buyout etc)",Construction Phase,,,,
"Quality assurance inspections (materials, workmanship) RCO and IDS Inspector",Construction Phase,Not Started,,,
"Document change orders and approvals (if more than $10,000 check with Manager)",Construction Phase,Not Started,,,
"After phase is comeplete, provide deficiency list to contractor",Construction Phase,,,,
Site Safety Check Weekly,Construction Phase,Not Started,,,
Phase change letter to resident and businesses,Construction Phase,,,,
"Environmental compliance (erosion, runoff, silt fencing etc.)",Construction Phase,Not Started,,,
"Review deficiency list, provide response to contractor",Construction Phase,,,,
Validate contractor invoices against work completed (Progress Payments),Financial Management,Not Started,,,
Track contingency and change order costs,Financial Management,Not Started,,,
Ensure timely payments per contract terms (Send to Senior Engineer to Reciept),Financial Management,Not Started,,,
Maintain cost control reports,Financial Management,Not Started,,,
Issue regular progress updates to stakeholders,Communication & Documentation,Not Started,,,
Record all meetings and decisions,Communication & Documentation,Not Started,,,
Ensure OneNote is being updated everyday,Communication & Documentation,,,,
"Maintain updated project files (drawings, permits, approvals)",Communication & Documentation,Not Started,,,
"File All pre-construction, construction and deficeincy photos",Communication & Documentation,,,,
File All Test Results,Communication & Documentation,,,,
Document disputes and resolutions,Communication & Documentation,Not Started,,,
Final inspection and punch(??) list completion,Project Close-Out,Not Started,,,
Obtain as-built drawings and warranties,Project Close-Out,Not Started,,,
Confirm compliance with specifications,Project Close-Out,Not Started,,,
Receive and sign substantial completion form (C.1) and return to contractor for 40 days,Project Close-Out,,,,
Builder Lien Holdback Release ,Project Close-Out,Not Started,,,
Performance Holdback Release depending on performance and quality,Project Close-Out,,,,
Project closeout report,Project Close-Out,,,,
TCA reporting,Project Close-Out,,,,
Archive project documentation inlcuding OneNote,Project Close-Out,Not Started,,,
Perform Warranty Inspection on spring of Year I and complete documentation Year I,Warranty Period,,,,
Send Deficiency List to the contractor (Year I),Warranty Period,,,,
Perfom Warranty Inspection of Spring of Year II,Warranty Period,,,,
Send Deficiency List to the contractor (Year II),Warranty Period,,,,
Check Deficiency document for further action items,Warranty Period,,,,
Close WO (Dedicated PM),Warranty Period,,,,
Close PO (Ask Procurement),Warranty Period,,,,
